,genus,species,filename
0,Accipiter,tachiro,Accipiter_tachiro_652454.mp3
1,Acridotheres,tristis,Acridotheres_tristis_947467.mp3
2,Acrocephalus,arundinaceus,Acrocephalus_arundinaceus_524528.mp3
3,Acrocephalus,baeticatus,Acrocephalus_baeticatus_432469.mp3
4,Acrocephalus,baeticatus,Acrocephalus_baeticatus_432471.mp3
5,Acrocephalus,baeticatus,Acrocephalus_baeticatus_432472.mp3
6,Acrocephalus,baeticatus,Acrocephalus_baeticatus_432680.mp3
7,Acrocephalus,baeticatus,Acrocephalus_baeticatus_432681.mp3
8,Acrocephalus,baeticatus,Acrocephalus_baeticatus_432682.mp3
9,Acrocephalus,baeticatus,Acrocephalus_baeticatus_432684.mp3
10,Acrocephalus,baeticatus,Acrocephalus_baeticatus_453372.mp3
11,Acrocephalus,gracilirostris,Acrocephalus_gracilirostris_201497.mp3
12,Acrocephalus,gracilirostris,Acrocephalus_gracilirostris_433951.mp3
13,Acrocephalus,gracilirostris,Acrocephalus_gracilirostris_452902.mp3
14,Acrocephalus,griseldis,Acrocephalus_griseldis_183951.mp3
15,Actophilornis,africanus,Actophilornis_africanus_524424.mp3
16,Actophilornis,africanus,Actophilornis_africanus_524426.mp3
17,Actophilornis,africanus,Actophilornis_africanus_524427.mp3
18,Actophilornis,africanus,Actophilornis_africanus_646336.mp3
19,Andropadus,importunus,Andropadus_importunus_100467.mp3
20,Andropadus,importunus,Andropadus_importunus_100468.mp3
21,Andropadus,importunus,Andropadus_importunus_104018.mp3
22,Andropadus,importunus,Andropadus_importunus_104020.mp3
23,Andropadus,importunus,Andropadus_importunus_201449.mp3
24,Andropadus,importunus,Andropadus_importunus_216433.mp3
25,Andropadus,importunus,Andropadus_importunus_31659.mp3
26,Andropadus,importunus,Andropadus_importunus_392008.mp3
27,Andropadus,importunus,Andropadus_importunus_521829.mp3
28,Andropadus,importunus,Andropadus_importunus_59737.mp3
29,Andropadus,importunus,Andropadus_importunus_652451.mp3
30,Andropadus,importunus,Andropadus_importunus_761339.mp3
31,Andropadus,importunus,Andropadus_importunus_774315.mp3
32,Andropadus,importunus,Andropadus_importunus_832635.mp3
33,Andropadus,importunus,Andropadus_importunus_941467.mp3
34,Anthreptes,reichenowi,Anthreptes_reichenowi_201496.mp3
35,Anthreptes,reichenowi,Anthreptes_reichenowi_819377.mp3
36,Anthus,lineiventris,Anthus_lineiventris_346109.mp3
37,Apalis,chirindensis,Apalis_chirindensis_646273.mp3
38,Apalis,flavida,Apalis_flavida_346114.mp3
39,Apalis,flavida,Apalis_flavida_725709.mp3
40,Apalis,lynesi,Apalis_lynesi_646282.mp3
41,Apalis,melanocephala,Apalis_melanocephala_213613.mp3
42,Apalis,melanocephala,Apalis_melanocephala_520130.mp3
43,Apalis,melanocephala,Apalis_melanocephala_520131.mp3
44,Apalis,ruddi,Apalis_ruddi_201315.mp3
45,Apaloderma,narina,Apaloderma_narina_347182.mp3
46,Apaloderma,narina,Apaloderma_narina_347183.mp3
47,Apus,berliozi,Apus_berliozi_543748.mp3
48,Ardea,cinerea,Ardea_cinerea_59739.mp3
49,Artisornis,moreaui,Artisornis_moreaui_345928.mp3
50,Artisornis,moreaui,Artisornis_moreaui_345929.mp3
51,Artisornis,moreaui,Artisornis_moreaui_345931.mp3
52,Artisornis,moreaui,Artisornis_moreaui_345932.mp3
53,Artisornis,moreaui,Artisornis_moreaui_345933.mp3
54,Artisornis,moreaui,Artisornis_moreaui_345934.mp3
55,Artisornis,moreaui,Artisornis_moreaui_345935.mp3
56,Artisornis,moreaui,Artisornis_moreaui_345936.mp3
57,Artisornis,moreaui,Artisornis_moreaui_345939.mp3
58,Artisornis,moreaui,Artisornis_moreaui_345941.mp3
59,Asio,capensis,Asio_capensis_685451.mp3
60,Batis,fratrum,Batis_fratrum_201450.mp3
61,Batis,molitor,Batis_molitor_104062.mp3
62,Batis,molitor,Batis_molitor_104063.mp3
63,Batis,molitor,Batis_molitor_59741.mp3
64,Batis,soror,Batis_soror_347180.mp3
65,Batis,soror,Batis_soror_347181.mp3
66,Batis,soror,Batis_soror_652456.mp3
67,Batis,soror,Batis_soror_652460.mp3
68,Bias,musicus,Bias_musicus_520128.mp3
69,Bias,musicus,Bias_musicus_615911.mp3
70,Bostrychia,hagedash,Bostrychia_hagedash_524531.mp3
71,Bostrychia,hagedash,Bostrychia_hagedash_59742.mp3
72,Bostrychia,hagedash,Bostrychia_hagedash_941367.mp3
73,Bubo,africanus,Bubo_africanus_301912.mp3
74,Bycanistes,bucinator,Bycanistes_bucinator_947468.mp3
75,Calamonastes,stierlingi,Calamonastes_stierlingi_950723.mp3
76,Calendulauda,africanoides,Calendulauda_africanoides_185641.mp3
